product_series,family,subtype,data_source,d_mm,dw_mm,Mmax_Nm,D_mm,l_mm,e_mm,H_mm,A_mm,d1_mm,MA_Nm,Z_count,S_spec,DIN_spec,class_spec,nmax_rpm,pN_N_per_mm2,I_kgm2,weight_kg
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,410,,800,192,26,218,572,508,1640,21,M30x090,933,10.9,716,219,50.34,470
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,430,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,530,430,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,440,,845,213,30,243,606,541,1640,24,M30x100,933,10.9,678,220,69.62,576
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,460,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,560,450,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,460,,900,213,30,243,632,568,1640,24,M30x100,933,10.9,637,218,90.11,660
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,480,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,590,470,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,480,,950,230,31,261,664,598,1640,28,M30x100,933,10.9,603,228,120.87,821
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,500,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,620,500,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,520,,960,254,33,287,706,630,1640,28,M30x100,933,10.9,597,204,134.96,872
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,540,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,660,530,,,,,,,,,,,,,,,,
